                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3208,                0.53384,                 1.1215,                0.98415,                0.98989,                0.99277,                0.61866,                 1.3674,                0.49087,                  1.277,              0.0005608,              0.0005608,              0.0005608
                     36,                  1.318,                0.53181,                 1.1185,                0.98249,                0.98977,                0.99097,                0.61747,                 1.3677,                0.49619,                 1.2777,             0.00052876,             0.00052876,             0.00052876
                     37,                 1.2983,                0.52782,                  1.123,                0.98455,                0.98833,                0.98998,                0.62094,                 1.3561,                0.48668,                 1.2683,             0.00049673,             0.00049673,             0.00049673
                     38,                  1.292,                0.51959,                 1.1171,                0.98404,                0.98871,                0.99067,                0.62102,                 1.3436,                0.48559,                 1.2617,             0.00046469,             0.00046469,             0.00046469
                     39,                 1.2718,                0.51466,                 1.1042,                0.98755,                0.98889,                 0.9921,                0.62599,                 1.3419,                0.47882,                 1.2619,             0.00043265,             0.00043265,             0.00043265
                     40,                  1.272,                0.50831,                  1.108,                0.98288,                0.98499,                0.99145,                0.62465,                 1.3429,                0.47753,                 1.2667,             0.00040062,             0.00040062,             0.00040062
                     41,                 1.2575,                0.46971,                 1.1441,                0.98473,                0.98826,                0.99297,                0.62651,                 1.3296,                0.47902,                  1.257,             0.00036858,             0.00036858,             0.00036858
                     42,                 1.2539,                0.46304,                 1.1375,                0.98593,                 0.9884,                0.99224,                0.63238,                 1.3346,                0.47203,                 1.2644,             0.00033654,             0.00033654,             0.00033654
                     43,                 1.2265,                0.45508,                 1.1295,                 0.9856,                0.98768,                0.99198,                0.63235,                  1.323,                0.46663,                 1.2496,             0.00030451,             0.00030451,             0.00030451
                     44,                 1.2194,                0.45119,                 1.1249,                0.98583,                 0.9892,                0.99257,                0.63514,                 1.3123,                0.45971,                 1.2413,             0.00027247,             0.00027247,             0.00027247
                     45,                 1.2005,                0.44427,                 1.1192,                0.98767,                0.99279,                0.99251,                0.63771,                  1.306,                0.45582,                 1.2436,             0.00024043,             0.00024043,             0.00024043
                     46,                 1.1922,                0.44001,                 1.1144,                0.98976,                0.99136,                 0.9931,                0.63902,                 1.2973,                 0.4533,                  1.242,              0.0002084,              0.0002084,              0.0002084
                     47,                 1.1841,                0.43765,                 1.1081,                0.98795,                0.98689,                0.99168,                0.64275,                 1.2987,                0.45156,                 1.2487,             0.00017636,             0.00017636,             0.00017636
                     48,                 1.1703,                0.43191,                 1.1061,                0.98683,                0.98889,                0.99202,                0.64561,                 1.2912,                0.44622,                 1.2413,             0.00014433,             0.00014433,             0.00014433
                     49,                 1.1581,                0.42823,                 1.0974,                0.98957,                 0.9894,                0.99252,                0.64498,                  1.291,                0.44141,                 1.2455,             0.00011229,             0.00011229,             0.00011229
                     50,                 1.1425,                0.41792,                 1.1015,                0.98744,                0.99204,                0.99236,                0.64495,                 1.2901,                 0.4404,                 1.2395,             8.0253e-05,             8.0253e-05,             8.0253e-05
